1. Pozisyon;1. Kuvvet
1,00;1,00
244,26;45,06
244,51;58,66
244,76;77,66
245,01;94,00
245,26;114,32
245,51;131,03
245,76;151,05
246,01;167,49
246,26;187,02
246,51;202,84
246,76;221,96
247,01;237,07
247,26;255,67
247,51;270,31
247,76;288,54
248,01;302,77
248,26;320,70
248,51;334,66
248,76;352,36
249,01;366,04
249,26;383,49
249,51;397,04
249,76;414,34
250,01;427,50
250,26;444,51
250,51;457,68
250,76;474,58
251,01;487,56
251,26;504,41
251,51;517,16
251,76;533,89
252,01;546,53
252,26;563,12
252,51;575,63
252,76;592,19
253,01;604,66
253,26;621,06
253,51;633,44
253,76;649,88
254,01;662,19
254,26;678,36
254,51;690,68
254,76;706,93
255,01;719,05
255,26;735,06
255,51;747,29
255,76;763,27
256,01;775,39
256,26;791,34
256,51;803,44
256,76;819,35
257,01;831,40
257,26;847,23
257,51;859,23
257,76;875,16
258,01;887,02
258,26;902,90
258,51;914,70
258,76;930,60
259,01;942,29
259,26;958,17
259,51;969,79
259,76;985,56
260,01;997,40
260,26;1013,03
260,51;1024,91
260,76;1040,42
261,01;1052,17
261,26;1067,75
261,51;1079,56
261,76;1095,12
262,01;1106,91
262,26;1122,58
262,51;1134,19
262,76;1149,88
263,01;1161,49
263,26;1177,13
263,51;1188,76
263,76;1204,52
264,01;1216,03
264,26;1231,70
264,51;1243,39
264,76;1259,07
265,01;1270,54
265,26;1286,29
265,51;1297,89
265,76;1313,47
266,01;1325,19
266,26;1340,76
266,51;1352,46
266,76;1367,99
267,01;1379,70
267,26;1395,33
267,51;1406,93
267,76;1422,57
268,01;1434,14
268,26;1449,75
268,51;1461,28
268,76;1477,04
269,01;1488,46
269,26;1504,05
269,51;1515,69
269,76;1531,25
270,01;1542,91
270,26;1558,43
270,51;1570,08
270,76;1585,60
271,01;1597,33
271,26;1612,83
271,51;1624,60
271,76;1640,26
272,01;1651,89
272,26;1667,62
272,51;1679,27
272,76;1694,91
273,01;1706,73
273,26;1722,46
273,51;1734,21
273,76;1749,98
274,01;1761,81
274,26;1777,63
274,51;1789,42
274,76;1805,46
275,01;1817,12
275,26;1833,10
275,51;1844,87
275,76;1860,80
276,01;1872,82
276,26;1888,62
276,51;1900,65
276,76;1916,54
277,01;1928,62
277,26;1944,49
277,51;1956,64
277,76;1972,64
278,01;1984,64
278,26;2000,70
278,51;2012,71
278,76;2028,86
279,01;2040,90
279,26;2056,99
279,51;2069,10
279,76;2085,29
280,01;2097,56
280,26;2113,66
280,51;2125,98
280,76;2142,19
281,01;2154,54
281,26;2170,88
281,51;2183,21
281,76;2199,63
282,01;2212,15
282,26;2228,39
282,51;2241,06
282,76;2257,61
283,01;2270,25
283,26;2286,62
283,51;2299,39
283,76;2316,08
284,01;2328,80
284,26;2345,61
284,51;2358,45
284,76;2375,13
285,01;2388,11
285,26;2405,05
285,51;2418,15
285,76;2435,06
286,01;2448,06
286,26;2465,21
286,51;2478,28
286,76;2495,66
287,01;2508,85
287,26;2525,99
287,51;2539,39
287,76;2556,60
288,01;2570,08
288,26;2587,51
288,51;2600,89
288,76;2618,46
289,01;2632,06
289,26;2649,55
289,51;2663,17
289,76;2681,02
290,01;2694,63
290,26;2712,59
290,51;2726,29
290,76;2744,27
291,01;2758,31
291,26;2776,42
291,51;2790,50
291,76;2808,55
292,01;2822,95
292,26;2841,12
292,51;2855,62
292,76;2874,18
293,01;2888,67
293,26;2907,39
293,51;2921,97
293,76;2940,76
294,01;2955,61
294,26;2974,56
294,51;2989,67
294,76;3008,85
295,01;3023,86
295,26;3043,12
295,51;3058,60
295,76;3077,95
296,01;3093,59
296,26;3113,11
296,51;3128,86
296,76;3148,72
297,01;3164,50
297,26;3184,33
297,51;3200,46
297,76;3220,43
298,01;3236,77
298,26;3257,06
298,51;3273,34
298,76;3293,84
299,01;3310,25
299,26;3330,95
299,51;3347,80
299,76;3368,69
300,01;3385,44
300,26;3406,71
300,51;3423,67
300,76;3445,23
301,01;3462,58
301,26;3484,06
301,51;3501,87
301,76;3523,56
302,01;3541,66
302,26;3563,64
302,51;3581,99
302,76;3604,29
303,01;3622,92
303,26;3645,62
303,51;3664,38
303,76;3687,42
