1. Pozisyon;1. Kuvvet;2. Pozisyon;2. Kuvvet;3. Pozisyon;3. Kuvvet;4. Pozisyon;4. Kuvvet;5. Pozisyon;5. Kuvvet;6. Pozisyon;6. Kuvvet;7. Pozisyon;7. Kuvvet;8. Pozisyon;8. Kuvvet;9. Pozisyon;9. Kuvvet;10. Pozisyon;10. Kuvvet;11. Pozisyon;11. Kuvvet;12. Pozisyon;12. Kuvvet
0;0;0;0;244,256876;56,546875;244,257944;45,058472;0;0;244,508531;45,590698;244,508722;41,683472;0;0;244,758127;49,289307;244,758394;46,484497;244,758661;43,980835;244,758508;41,91333
0;0;0;0;244,507005;71,524902;244,507425;58,662598;0;0;244,757288;61,554932;244,757517;56,1604;0;0;245,006159;65,172974;245,006273;62,85791;245,006502;60,377319;245,006616;58,328369
0;0;0;0;244,75725;91,741699;244,757021;77,658325;0;0;245,006273;78,067627;245,006082;72,931885;0;0;245,256822;82,241455;245,256746;78,814697;245,256784;75,615234;245,256784;72,966675
0;0;0;0;245,006159;108,392822;245,006311;94,001465;0;0;245,256975;96,608521;245,256708;90,514526;0;0;245,506876;100,301392;245,507028;97,616211;245,50699;94,885498;245,507067;92,36853
0;0;0;0;245,256746;129,113525;245,25667;114,316162;0;0;245,506914;114,338135;245,506761;108,845215;0;0;245,757005;118,337158;245,757005;114,657227;245,757044;111,303833;245,757005;108,455078
0;0;0;0;245,507105;145,68042;245,507105;131,029785;0;0;245,757158;133,245239;245,757158;127,180908;0;0;246,007097;136,546387;246,007059;133,78186;246,007059;130,831177;246,006944;128,47876
0;0;0;0;245,756929;166,176147;245,757044;151,04895;0;0;246,007135;150,782471;246,007059;145,390869;0;0;246,256655;154,311157;246,256807;150,58606;246,256731;147,250366;246,256693;144,348755
0;0;0;0;246,006983;182,098999;246,006906;167,49231;0;0;246,256655;169,228516;246,256616;163,174194;0;0;246,50728;172,067017;246,507204;169,377075;246,507242;166,356201;246,507242;163,839355
0;0;0;0;246,256731;201,828735;246,256769;187,022217;0;0;246,507242;186,227295;246,507318;180,787598;0;0;246,757372;189,448242;246,757334;185,555298;246,757334;182,223877;246,757334;179,320923
0;0;0;0;246,507242;217,490112;246,507318;202,838623;0;0;246,757295;204,208618;246,757257;198,118896;0;0;247,006471;206,525269;247,006548;203,658081;247,006471;200,907349;247,00651;198,247803
0;0;0;0;246,75741;236,511597;246,757372;221,95752;0;0;247,006586;220,71875;247,006471;215,277954;0;0;247,256983;223,12146;247,257059;219,362671;247,257135;216,072388;247,256983;213,206909
0;0;0;0;247,006395;251,673706;247,006471;237,069092;0;0;247,257021;237,929932;247,256944;231,914551;0;0;247,507189;239,862549;247,507189;237,037476;247,507265;234,240356;247,507227;231,749756
0;0;0;0;247,256983;270,192749;247,257021;255,672485;0;0;247,507227;254,008423;247,50715;248,495117;0;0;247,757128;256,1698;247,757166;252,245361;247,757128;248,964111;247,757089;246,105713
0;0;0;0;247,507265;284,981812;247,507189;270,313477;0;0;247,757166;271,040894;247,757166;264,812866;0;0;248,007257;272,467896;248,007334;269,458496;248,007372;266,674194;248,007295;264,193481
0;0;0;0;247,757013;303,103516;247,757128;288,54126;0;0;248,007295;286,49646;248,007219;281,098755;0;0;248,256815;288,294556;248,256777;284,262329;248,256777;281,053711;248,256853;278,313232
0;0;0;0;248,007257;317,509155;248,007219;302,773437;0;0;248,256777;302,995728;248,256815;296,941162;0;0;248,507211;304,094482;248,507402;301,268677;248,507288;298,31958;248,507173;295,813965
0;0;0;0;248,256815;335,309814;248,2567;320,695068;0;0;248,507173;318,265869;248,507288;312,846191;0;0;248,757608;319,712524;248,757608;315,779541;248,757608;312,549927;248,757646;309,52002
0;0;0;0;248,507479;349,590088;248,507364;334,658569;0;0;248,757723;334,542847;248,75757;328,394531;0;0;249,006593;335,276245;249,006632;332,335571;249,006632;329,417236;249,006632;326,906738
0;0;0;0;248,757646;366,994141;248,757532;352,358887;0;0;249,006746;349,572632;249,00667;344,111938;0;0;249,257257;350,764282;249,257448;346,571045;249,257372;343,338501;249,257257;340,457764
0;0;0;0;249,006746;381,06604;249,00667;366,036377;0;0;249,257219;365,782959;249,257372;359,547119;0;0;249,507234;365,925049;249,507196;362,894531;249,507349;359,990967;249,507234;357,394409
0;0;0;0;249,257372;398,248657;249,257448;383,486328;0;0;249,507273;380,310059;249,507082;374,834473;0;0;249,757211;381,053101;249,757211;376,955811;249,757173;373,562012;249,757211;370,744263
0;0;0;0;249,507234;412,130615;249,507044;397,035278;0;0;249,757288;396,278442;249,757288;390,052124;0;0;250,007341;396,280884;250,007417;393,135986;250,007379;390,276123;250,007303;387,529663
0;0;0;0;249,757173;429,131714;249,757326;414,338745;0;0;250,007303;410,643433;250,007379;405,155762;0;0;250,256937;411,108521;250,256861;406,924805;250,256861;403,662964;250,256784;400,739258
0;0;0;0;250,007494;442,640747;250,007417;427,50415;0;0;250,256861;426,46106;250,256708;420,033081;0;0;250,507448;426,112427;250,507486;422,966309;250,507486;419,947998;250,507562;417,275879
0;0;0;0;250,256822;459,58313;250,256822;444,507324;0;0;250,507601;440,743042;250,507562;435,045898;0;0;250,757578;440,837402;250,757501;436,580811;250,757616;433,327637;250,757463;430,359741
0;0;0;0;250,50741;472,947021;250,507562;457,680054;0;0;250,757463;456,341309;250,75754;449,832764;0;0;251,006716;455,6521;251,006754;452,581543;251,006754;449,477783;251,006716;446,716064
0;0;0;0;250,757654;489,716187;250,757463;474,576172;0;0;251,006906;470,378296;251,006677;464,715454;0;0;251,257074;470,373535;251,257379;465,896729;251,257189;462,636597;251,257265;459,643433
0;0;0;0;251,006677;503,127319;251,00683;487,561768;0;0;251,257379;486,016479;251,257189;479,466064;0;0;251,50728;484,87561;251,507128;481,817017;251,507242;478,775757;251,507166;475,957764
0;0;0;0;251,25715;519,680054;251,257379;504,411011;0;0;251,507166;499,806763;251,507089;494,05542;0;0;251,757105;499,39563;251,757143;495,105225;251,757067;491,695068;251,757143;488,697144
0;0;0;0;251,507356;532,739624;251,507013;517,157349;0;0;251,757143;515,328247;251,757257;508,722778;0;0;252,007349;513,851196;252,00754;510,808716;252,007463;507,703979;252,007425;504,832275
0;0;0;0;251,757105;549,261475;251,757181;533,88916;0;0;252,00754;528,973755;252,007501;523,195557;0;0;252,256983;528,352173;252,256868;523,799194;252,257021;520,490723;252,257021;517,468506
0;0;0;0;252,007501;562,264648;252,007463;546,530029;0;0;252,257021;544,230469;252,256792;537,741943;0;0;252,507303;542,615601;252,507494;539,507812;252,507341;536,37085;252,507379;533,451538
