2. Pozisyon;2. Kuvvet
213;58
213;80
213;102
214;123
214;144
214;163
214;182
215;201
215;219
215;237
215;254
216;271
216;289
216;305
216;322
217;338
217;355
217;371
217;387
218;403
218;419
218;434
218;450
219;465
219;481
219;496
219;511
220;526
220;542
220;556
220;572
221;586
221;601
221;616
221;631
222;646
222;660
222;675
222;690
223;704
223;719
223;733
223;748
224;763
224;777
224;792
224;806
225;821
225;835
225;850
225;864
226;879
226;893
226;908
226;922
227;936
227;951
227;965
227;979
228;993
228;1007
228;1022
228;1036
229;1050
229;1064
229;1078
229;1092
230;1106
230;1120
230;1134
230;1148
231;1162
231;1176
231;1190
231;1205
232;1219
232;1233
232;1247
232;1261
233;1275
233;1289
233;1303
233;1317
234;1331
234;1345
234;1360
234;1374
235;1388
235;1402
235;1416
235;1431
236;1445
236;1459
236;1473
236;1488
237;1502
237;1516
237;1531
237;1545
238;1559
238;1573
238;1588
238;1602
239;1616
239;1630
239;1644
239;1659
240;1673
240;1687
240;1701
240;1716
241;1730
241;1744
241;1759
241;1773
242;1788
242;1802
242;1817
242;1831
243;1846
243;1860
243;1875
243;1889
244;1904
244;1919
244;1933
244;1948
245;1963
245;1978
245;1993
245;2007
246;2023
246;2037
246;2052
246;2067
247;2083
247;2097
247;2113
247;2127
248;2143
248;2157
248;2173
248;2187
249;2203
249;2217
249;2233
249;2248
250;2263
250;2278
250;2294
250;2309
251;2325
251;2340
251;2356
251;2371
252;2387
252;2402
252;2418
252;2434
253;2450
253;2465
253;2482
253;2497
254;2514
254;2530
254;2546
254;2562
255;2579
255;2595
255;2612
255;2628
256;2645
256;2661
256;2678
256;2694
257;2712
257;2728
257;2745
257;2762
258;2779
258;2796
258;2814
258;2830
259;2848
259;2865
259;2882
259;2899
260;2918
260;2935
260;2953
260;2970
261;2988
261;3006
261;3024
261;3042
262;3061
262;3078
262;3097
262;3116
263;3135
263;3153
263;3173
263;3191
264;3211
264;3230
264;3250
264;3269
265;3289
265;3308
265;3328
265;3348
266;3368
266;3388
266;3409
266;3428
267;3449
267;3469
267;3491
267;3511
268;3532
268;3553
268;3575
268;3595
269;3617
269;3638
269;3661
269;3682
270;3705
270;3726
270;3750
270;3772
271;3795
271;3818
271;3842
271;3864
272;3889
272;3912
272;3937
272;3961
273;3986
273;4010
273;4036
273;4060
274;4087
274;4112
274;4139
274;4164
275;4191
275;4217
275;4245
275;4272
276;4301
276;4328
276;4356
276;4384
277;4414
277;4442
277;4473
277;4501
278;4532
278;4562
278;4594
278;4624
279;4657
279;4688
279;4721
279;4753
280;4788
280;4821
280;4856
280;4891
281;4927
281;4963
281;5000
281;5037
282;5076
282;5114
282;5154
282;5194
283;5238
283;5283
283;5337
283;5399
284;5475
284;5560
284;5657
284;5761
285;5878
285;6002
285;6138
285;6283
286;6440
286;6608
286;6794
286;6992
287;7202
287;7409
287;7580
287;7696
287;7705
287;7651
287;7603
287;7563
287;7533
287;7509
287;7492
287;7476
287;7465
287;7457
287;7482
287;7521
287;7567
287;7613
287;7623
287;7554
286;7417
286;7237
286;7037
286;6822
286;6607
285;6387
285;6174
285;5966
285;5769
284;5584
284;5416
283;5269
283;5149
283;5041
282;4943
282;4848
281;4756
281;4669
280;4587
280;4506
279;4432
279;4357
279;4288
278;4219
278;4155
277;4090
277;4030
276;3970
276;3913
275;3856
275;3803
275;3748
274;3698
274;3647
273;3599
273;3550
272;3505
272;3458
271;3414
271;3369
270;3327
270;3284
270;3244
269;3202
269;3163
268;3122
268;3085
267;3046
267;3009
266;2971
266;2936
266;2899
265;2864
265;2828
264;2795
264;2760
263;2728
263;2694
262;2662
262;2629
261;2598
261;2565
261;2535
260;2503
260;2473
259;2442
259;2412
258;2382
258;2353
257;2323
257;2295
257;2264
256;2237
256;2208
255;2181
255;2152
254;2126
254;2097
253;2071
253;2043
252;2018
252;1990
252;1965
251;1938
251;1913
250;1886
250;1861
249;1834
249;1810
248;1783
248;1759
248;1733
247;1709
247;1683
246;1660
246;1634
245;1611
245;1585
244;1562
244;1537
243;1514
243;1489
243;1467
242;1442
242;1420
241;1395
241;1373
240;1348
240;1326
239;1302
239;1280
239;1255
238;1234
238;1210
237;1188
237;1165
236;1143
236;1120
235;1098
235;1075
234;1054
234;1030
234;1010
233;987
233;966
232;943
232;922
231;899
231;879
230;856
230;835
230;812
229;792
229;769
228;748
228;726
227;705
227;683
226;662
226;640
225;620
225;597
225;578
224;555
224;536
223;514
223;494
222;472
222;452
221;430
221;410
221;387
220;368
220;346
219;326
219;304
218;284
218;262
217;243
217;221
216;201
216;179
216;160
215;138
215;119
214;98
214;81
0;0
0;0
