1. Pozisyon;1. Kuvvet;2. Pozisyon;2. Kuvvet;3. Pozisyon;3. Kuvvet;4. Pozisyon;4. Kuvvet;5. Pozisyon;5. Kuvvet;6. Pozisyon;6. Kuvvet;7. Pozisyon;7. Kuvvet;8. Pozisyon;8. Kuvvet;9. Pozisyon;9. Kuvvet;10. Pozisyon;10. Kuvvet;11. Pozisyon;11. Kuvvet;12. Pozisyon;12. Kuvvet
0,000000;0,000000;212,998636;58,430542;212,998674;54,020386;0,000000;0,000000;212,998941;51,152710;212,998941;50,646484;0,000000;0,000000;212,999170;50,734985;212,999094;48,936157;212,998865;49,447632;212,998903;50,064331;212,998979;48,036621
0,000000;0,000000;213,248689;80,102295;213,248804;76,068359;0,000000;0,000000;213,248766;72,334961;213,248804;71,501831;0,000000;0,000000;213,248804;69,301270;213,248728;70,097778;213,248804;68,457886;213,248956;67,557983;213,248804;69,023560
0,000000;0,000000;213,499429;102,077026;213,499429;95,635132;0,000000;0,000000;213,499391;91,420776;213,499391;90,568237;0,000000;0,000000;213,499468;90,032959;213,499429;88,125488;213,499429;88,556152;213,499506;88,814331;213,499353;86,733154
0,000000;0,000000;213,748911;122,905640;213,748911;117,839478;0,000000;0,000000;213,749063;112,967407;213,749140;111,866455;0,000000;0,000000;213,749063;109,187378;213,749292;110,062134;213,748987;108,181152;213,749178;107,159302;213,749101;108,608154
0,000000;0,000000;213,999002;143,625488;213,999002;136,440063;0,000000;0,000000;213,999040;131,594482;213,998964;130,536621;0,000000;0,000000;213,999002;129,739624;213,999002;127,740967;213,998964;128,159180;213,999079;128,363159;213,998964;126,224365
0,000000;0,000000;214,248827;163,124878;214,248903;157,399902;0,000000;0,000000;214,248827;152,222412;214,248789;151,176880;0,000000;0,000000;214,248827;148,163452;214,248750;148,782349;214,248789;147,238647;214,248865;146,242310;214,248789;147,634277
0,000000;0,000000;214,499414;182,406128;214,499338;174,875122;0,000000;0,000000;214,499338;169,840332;214,499376;168,615112;0,000000;0,000000;214,499338;167,673096;214,499376;165,606445;214,499491;165,894287;214,499414;166,210571;214,499414;164,227417
0,000000;0,000000;214,749468;200,682251;214,749429;194,693726;0,000000;0,000000;214,749429;189,406738;214,749544;188,281738;0,000000;0,000000;214,749506;185,349854;214,749506;185,805420;214,749506;184,279663;214,749506;183,074585;214,749429;184,449951
0,000000;0,000000;214,998567;219,191040;214,998606;211,453857;0,000000;0,000000;214,998567;206,313232;214,998606;205,079468;0,000000;0,000000;214,998567;204,067017;214,998567;202,023071;214,998606;202,282349;214,998644;202,589600;214,998529;200,559937
0,000000;0,000000;215,249193;236,679443;215,249117;230,562744;0,000000;0,000000;215,249079;225,321045;215,249346;223,992554;0,000000;0,000000;215,249193;220,972412;215,249117;221,587036;215,249231;219,900391;215,249155;218,687012;215,249231;220,198730
0,000000;0,000000;215,499513;254,374512;215,499513;246,631470;0,000000;0,000000;215,499399;241,245483;215,499475;239,933228;0,000000;0,000000;215,499437;238,941772;215,499361;237,025879;215,499323;237,153687;215,499285;237,426025;215,499246;235,296875
0,000000;0,000000;215,749262;271,463623;215,749338;264,995117;0,000000;0,000000;215,749223;259,479004;215,749300;258,255737;0,000000;0,000000;215,749300;255,042725;215,749300;255,727905;215,749223;254,173950;215,749414;253,082764;215,749147;254,357056
0,000000;0,000000;215,999429;288,583496;215,999277;280,634277;0,000000;0,000000;215,999315;275,046387;215,999468;273,696289;0,000000;0,000000;215,999391;272,722900;215,999391;270,840942;215,999353;271,137207;215,999315;271,214966;215,999544;269,267334
0,000000;0,000000;216,248911;305,313354;216,249025;298,822998;0,000000;0,000000;216,248987;292,959717;216,248834;291,628662;0,000000;0,000000;216,249025;288,448730;216,248911;289,418457;216,248758;287,597900;216,249025;286,548340;216,248834;287,761963
0,000000;0,000000;216,499460;322,052734;216,499460;313,918213;0,000000;0,000000;216,499460;308,089111;216,499460;306,689453;0,000000;0,000000;216,499460;305,788086;216,499651;303,958618;216,499574;304,123535;216,499384;304,401367;216,499498;302,265137
0,000000;0,000000;216,749742;338,349121;216,749628;331,543457;0,000000;0,000000;216,749666;325,746582;216,749704;324,332275;0,000000;0,000000;216,749742;321,171509;216,749552;321,906616;216,749590;320,138184;216,749742;319,101318;216,749590;320,260132
0,000000;0,000000;216,998918;354,776367;216,998804;346,429565;0,000000;0,000000;216,998842;340,593872;216,998689;339,008789;0,000000;0,000000;216,998766;338,129517;216,998728;336,158936;216,998842;336,471069;216,998804;336,727417;216,998728;334,530029
0,000000;0,000000;217,249353;370,920776;217,249315;363,944458;0,000000;0,000000;217,249277;358,039185;217,249429;356,516846;0,000000;0,000000;217,249277;353,363159;217,249277;354,028076;217,249429;352,292603;217,249429;351,245483;217,249353;352,397339
0,000000;0,000000;217,499445;386,988281;217,499483;378,501709;0,000000;0,000000;217,499521;372,365479;217,499483;371,000610;0,000000;0,000000;217,499445;369,959351;217,499445;367,947998;217,499407;368,282593;217,499368;368,495728;217,499445;366,301392
0,000000;0,000000;217,749307;402,763794;217,749460;395,774780;0,000000;0,000000;217,749422;389,561646;217,749460;387,949219;0,000000;0,000000;217,749346;384,782104;217,749460;385,428711;217,749460;383,803589;217,749346;382,627563;217,749384;383,877441
0,000000;0,000000;217,999666;418,566284;217,999475;410,067871;0,000000;0,000000;217,999437;403,678833;217,999628;402,258789;0,000000;0,000000;217,999513;401,198486;217,999590;399,329468;217,999628;399,509888;217,999666;399,560669;217,999666;397,471436
0,000000;0,000000;218,249071;434,245239;218,249147;427,108765;0,000000;0,000000;218,249147;420,934814;218,249109;419,098267;0,000000;0,000000;218,249109;415,810059;218,249185;416,515625;218,249071;414,765137;218,249147;413,655396;218,249071;414,743530
0,000000;0,000000;218,499544;449,991333;218,499468;441,088257;0,000000;0,000000;218,499468;434,738892;218,499506;433,228516;0,000000;0,000000;218,499391;432,103394;218,499429;430,271729;218,499506;430,399536;218,499582;430,562256;218,499468;428,323486
0,000000;0,000000;218,749559;465,270996;218,749445;458,034302;0,000000;0,000000;218,749597;451,751831;218,749674;449,881836;0,000000;0,000000;218,749597;446,394531;218,749559;447,122559;218,749521;445,398437;218,749559;444,177734;218,749559;445,262085
0,000000;0,000000;218,998773;480,693604;218,998850;471,737549;0,000000;0,000000;218,998812;465,315308;218,998850;463,749756;0,000000;0,000000;218,998735;462,567383;218,998850;460,676636;218,998850;460,770142;218,998773;460,928833;218,998812;458,682495
0,000000;0,000000;219,249513;495,983398;219,249590;488,598511;0,000000;0,000000;219,249628;482,158447;219,249552;480,482788;0,000000;0,000000;219,249628;476,758545;219,249437;477,459717;219,249437;475,714722;219,249628;474,541016;219,249475;475,724731
0,000000;0,000000;219,499605;511,331543;219,499567;502,308105;0,000000;0,000000;219,499491;495,707031;219,499643;494,139893;0,000000;0,000000;219,499452;492,885620;219,499605;490,904541;219,499567;491,012329;219,499529;491,119263;219,499643;488,985474
0,000000;0,000000;219,749468;526,344604;219,749468;518,869873;0,000000;0,000000;219,749506;512,263184;219,749544;510,647339;0,000000;0,000000;219,749544;506,812988;219,749429;507,506348;219,749582;505,735229;219,749544;504,475220;219,749544;505,657959
0,000000;0,000000;219,999674;541,550659;219,999674;532,487671;0,000000;0,000000;219,999635;525,753540;219,999483;524,145020;0,000000;0,000000;219,999674;522,819458;219,999674;520,770752;219,999674;520,892944;219,999635;520,930298;219,999483;518,657471
0,000000;0,000000;220,248888;556,443726;220,248926;548,955933;0,000000;0,000000;220,248850;542,424072;220,249040;540,601562;0,000000;0,000000;220,249002;536,843384;220,248964;537,349365;220,248812;535,473755;220,248850;534,193604;220,249040;535,354858
0,000000;0,000000;220,499590;571,538574;220,499475;562,403809;0,000000;0,000000;220,499590;555,625244;220,499513;553,985596;0,000000;0,000000;220,499361;552,611206;220,499475;550,653687;220,499552;550,739624;220,499590;550,697998;220,499475;548,307007
0,000000;0,000000;220,749796;586,484253;220,749719;578,752319;0,000000;0,000000;220,749643;572,051758;220,749796;570,301270;0,000000;0,000000;220,749872;566,349243;220,749758;566,992798;220,749758;565,083252;220,749796;563,872437;220,749719;565,019165
0,000000;0,000000;220,999048;601,279419;220,999086;592,078125;0,000000;0,000000;220,998972;585,235229;220,999086;583,504639;0,000000;0,000000;220,999010;582,114136;220,998972;580,113159;220,999086;580,098755;220,999124;580,058228;220,999010;577,792725
0,000000;0,000000;221,249368;616,084229;221,249292;608,289917;0,000000;0,000000;221,249292;601,541992;221,249292;599,809692;0,000000;0,000000;221,249445;595,901733;221,249407;596,321899;221,249407;594,355225;221,249483;593,052856;221,249292;594,165161
0,000000;0,000000;221,499346;630,810547;221,499384;621,512695;0,000000;0,000000;221,499384;614,660278;221,499422;612,835083;0,000000;0,000000;221,499422;611,414917;221,499460;609,284180;221,499422;609,381958;221,499346;609,207764;221,499422;606,984985
0,000000;0,000000;221,749437;645,520020;221,749399;637,589722;0,000000;0,000000;221,749361;630,790405;221,749513;628,958008;0,000000;0,000000;221,749475;625,085449;221,749399;625,520630;221,749361;623,551758;221,749475;622,366089;221,749399;623,316772
0,000000;0,000000;221,999719;660,170410;221,999719;650,814941;0,000000;0,000000;221,999796;643,858643;221,999758;642,198730;0,000000;0,000000;221,999796;640,679932;221,999758;638,434326;221,999796;638,526733;221,999834;638,326172;221,999681;636,108643
0,000000;0,000000;222,249010;674,886230;222,248972;666,930298;0,000000;0,000000;222,249010;660,041138;222,249124;658,262939;0,000000;0,000000;222,249048;654,241333;222,249124;654,667114;222,248972;652,665649;222,249124;651,406494;222,249124;652,397949
0,000000;0,000000;222,499330;689,523804;222,499368;680,148437;0,000000;0,000000;222,499292;673,091797;222,499330;671,397949;0,000000;0,000000;222,499292;669,787231;222,499292;667,596069;222,499330;667,679443;222,499330;667,427246;222,499292;665,302490
0,000000;0,000000;222,749689;704,225830;222,749613;696,314697;0,000000;0,000000;222,749727;689,404053;222,749574;687,375122;0,000000;0,000000;222,749689;683,427734;222,749651;683,800171;222,749651;681,883667;222,749765;680,533203;222,749460;681,491821
0,000000;0,000000;222,998865;718,755737;222,998941;709,272461;0,000000;0,000000;222,998979;702,203857;222,999018;700,465576;0,000000;0,000000;222,998941;698,914917;222,998979;696,716797;222,999018;696,676025;222,999018;696,417603;222,999094;694,206177
0,000000;0,000000;223,249643;733,347534;223,249452;725,390381;0,000000;0,000000;223,249605;718,425537;223,249529;716,338745;0,000000;0,000000;223,249452;712,409790;223,249567;712,743286;223,249529;710,717529;223,249605;709,444580;223,249414;710,421631
0,000000;0,000000;223,499468;748,052246;223,499468;738,461304;0,000000;0,000000;223,499468;731,355103;223,499429;729,562012;0,000000;0,000000;223,499391;728,008423;223,499506;725,800293;223,499468;725,709595;223,499429;725,477905;223,499391;723,255615
